"","Accession","Hamming","Miyata"
"411","GU644764","6.63111111111111","11.2921777777778"
"412","GU644765","6.63111111111111","11.3009333333333"
"413","GU644766","6.62888888888889","11.2959777777778"
"414","GU644767","6.63333333333333","11.2740444444444"
"415","GU644768","6.63111111111111","11.3004222222222"
"416","GU644769","6.63111111111111","11.2882666666667"
"417","GU644770","6.63111111111111","11.3145777777778"
"418","GU644771","6.62888888888889","11.3050444444444"
"419","GU644772","6.63333333333333","11.3263111111111"
"420","GU644773","6.63333333333333","11.2725555555556"
"421","GU644774","6.63111111111111","11.3004222222222"
"422","GU644775","6.63777777777778","11.2969333333333"
"423","GU644776","6.63111111111111","11.3009333333333"
"424","GU644777","6.63111111111111","11.3004222222222"
"425","GU644778","6.63333333333333","11.3060222222222"
"426","GU644779","6.62888888888889","11.2948222222222"
"427","GU644780","6.63111111111111","11.3006222222222"
"428","GU644781","6.62888888888889","11.3090222222222"
"429","GU644782","6.62666666666667","11.2977555555556"
"430","GU644783","6.62666666666667","11.2977555555556"
"431","GU644784","6.63333333333333","11.3008222222222"
"432","GU644785","6.63111111111111","11.2971333333333"
"433","GU644786","6.62666666666667","11.2966666666667"
"434","GU644787","6.62444444444444","11.2662222222222"
"435","GU644788","6.63111111111111","11.2812888888889"
"436","JQ685905","6.62888888888889","11.3048444444444"
