"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","clade","Accession"
"MN233977",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN233977"
"MN233978",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN233978"
"MN233982",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN233982"
"MN233985",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN233985"
"MN233988",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN233988"
"MN233991",-1.30217302765959,2.62623944753112,1.87619726991394,-0.205455123617142,0.293932466156681,-0.907300516721667,0.571773053594718,-0.307790418184101,0.0176792350442744,0.401099956009154,0.38642472687587,-0.397586878374846,0.254289807652429,-0.422682121230157,0.356159707372271,-0.673071755296687,-0.196518081013798,-0.116971750405029,"Arctic A","MN233991"
"MN233992",-0.335126946135238,2.05432993137386,2.39948306483246,-0.592461788513608,0.114521028280488,-0.76734429100039,-0.319814851296584,-0.574406476175112,-0.625199506307892,0.580276378188252,0.226524144817046,0.133821952926305,-0.196191679927149,-0.000777496279157345,0.00928926376163541,-0.108843940968826,0.0961352554641789,-0.0343728718346553,"Arctic A","MN233992"
"MN233998",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN233998"
"MN234000",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN234000"
"MN234002",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN234002"
"MN234004",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN234004"
"MN234008",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN234008"
"MN234016",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN234016"
"MN234017",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN234017"
"MN234018",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN234018"
"MN234023",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","MN234023"
