acc	CpGpos1	CpGpos2	CpGbridge
KR534230	0.4832954185504075	0.5640685958436421	0.6913890130060832
KR534231	0.48682780231258355	0.5329532839671256	0.6633522059505258
KR534233	0.4829621578346437	0.3910870437773043	0.7044563414517854
KR534238	0.4876091911066906	0.5330499329543439	0.6466081395791167
KR534244	0.48141844414602913	0.3906803857549364	0.7419593745763431
KR534247	0.48141844414602913	0.3906803857549364	0.7419593745763431
KR534249	0.48141844414602913	0.3906803857549364	0.7419593745763431
KR534250	0.4799590653249189	0.39057252186185726	0.7429594070836363
KR534251	0.48765461508860014	0.5333852478614315	0.6630337681255379
KR534252	0.4055668990306645	0.5965885651124846	0.6744944684496574
KR534253	0.48267297642459234	0.3544807179966213	0.7048286873952624
KR906734	0.4881852998845541	0.49699510062477753	0.6631282991267093
KR906735	0.479801818139082	0.4608529127835956	0.7018864497642727
KR906736	0.48031821351417386	0.462224719074733	0.7019779297220226
KR906739	0.4856193723227555	0.47471376814353167	0.7345550291958044
KR906741	0.48335594146800553	0.391670021693927	0.7101208277351052
KR906742	0.4782742007375841	0.4234939584925224	0.693037079361661
KR906743	0.48682780231258355	0.5329532839671256	0.6633522059505258
KR906744	0.4863851712421636	0.4747828549884697	0.6966358344014512
KR906745	0.48135100426435734	0.35308830281446085	0.7050174396507006
KR906746	0.4859562954030763	0.5729735556474748	0.6220789042958736
KR906747	0.48468193755262684	0.5711674735342114	0.6386549295869596
KR906748	0.5701630995143414	0.40189145359889683	0.6843319395718093
KR906749	0.48416725189574766	0.4294347437973637	0.7098384344519757
