acc	CpGpos1	CpGpos1_low95CI	CpGpos1_high95CI	CpGpos2	CpGpos2_low95CI	CpGpos2_high95CI	CpGbridge	CpGbridge_low95CI	CpGbridge_high95CI
HM486357	0.30434782608695654	0.3887625957572637	0.7512374042427369	0.13506959623148163	0.12246787076915591	0.26566460635850264	0.12233933083285171	0.15479086134718972	0.3044537133332466
HM486358	0.30434782608695654	0.37298327795366226	0.7765819394376424	0.13506959623148163	0.12685578967864808	0.28503795987201813	0.12233933083285171	0.147571691	0.29281115356476456
HM486359	0.30434782608695654	0.3465952220450532	0.7829699953462519	0.13506959623148163	0.1169682794774832	0.26482044845375374	0.12233933083285171	0.15867785245787625	0.2990667353512977
HM486361	0.30434782608695654	0.4127904241375224	0.7246008802103043	0.13506959623148163	0.13019152911439869	0.26585768968058027	0.12233933083285171	0.15509865605457573	0.3012039577993969
HM486362	0.30434782608695654	0.36869049709298884	0.7800051550809249	0.13506959623148163	0.12573746201394326	0.2746624270288405	0.12233933083285171	0.15986638109784643	0.30609495192106495
HM486364	0.30434782608695654	0.38902986097784154	0.7492310085873763	0.13506959623148163	0.12290469838395675	0.27058983070118114	0.12233933083285171	0.15467142235067372	0.3032403033764391
HM486365	0.30434782608695654	0.3590402435491096	0.7844380173204559	0.13506959623148163	0.12577012713181832	0.2631740443292214	0.12233933083285171	0.14828780488673504	0.3048050250310352
HM486366	0.30434782608695654	0.3350000407184586	0.7528260462380636	0.13506959623148163	0.12108406760781121	0.2701873191232026	0.12233933083285171	0.1515250657780135	0.30969556718558944
HM486367	0.30434782608695654	0.35514841933008023	0.7361559284960075	0.13506959623148163	0.13168257550565493	0.26768522010232354	0.12233933083285171	0.15423719718719237	0.3103463041747894
HM486368	0.30434782608695654	0.4070344618137238	0.7607916251427984	0.10571948586167657	0.13946629356236317	0.25606975371876045	0.12240030469083679	0.1530578534358392	0.3168659568419566
HM486369	0.3043478260869566	0.3763374529960495	0.7627929817865595	0.13567301457093336	0.13766651142104952	0.2587660417257795	0.1220706391162971	0.1579322563679078	0.3077075954858414
HM486370	0.30434782608695654	0.3602705262472913	0.7571207781005346	0.13506959623148163	0.12522973076803293	0.2728733190339909	0.12233933083285171	0.1557654862682181	0.3124980094305503
HM486371	0.30434782608695654	0.3763831986455966	0.7592689752674473	0.13506959623148163	0.12513999022965258	0.26873907137270614	0.12233933083285171	0.15024828816782315	0.3082058494815941
HM486372	0.30434782608695654	0.4055498156036108	0.776189315	0.13506959623148163	0.12617082980371847	0.2592343657428971	0.12233933083285171	0.16170851572871112	0.31126936622393686
HM486373	0.30434782608695654	0.3842603809693111	0.7644352712046028	0.13506959623148163	0.1297548554581402	0.27231433207446776	0.12233933083285171	0.1527235136994703	0.31209634530235186
HM486374	0.30434782608695654	0.35134734247677096	0.7634352662188804	0.13505027442223705	0.12429010952812729	0.2731346915899502	0.12232561375701453	0.15418971156210648	0.3125833255866314
HM486375	0.30434782608695654	0.3860186961367583	0.7652856516893288	0.13505027442223705	0.14284978286745148	0.27183329687010666	0.12232561375701453	0.15388218591872205	0.3090125129219315
HM486379	0.30434782608695654	0.36581692938246335	0.7872265488784067	0.13506696938936238	0.12244004942430668	0.2722536871094012	0.12234809248209277	0.16095436862955328	0.31324269435977803
HM486380	0.30434782608695654	0.36411452222001184	0.762842	0.13506696938936238	0.13172245799013765	0.2736994610790963	0.12234809248209277	0.15121669556334494	0.2994413783785692
HM486381	0.2916666666666667	0.38069701296236164	0.7634696537043051	0.10181433177603554	0.127084006	0.2506772212298359	0.1393129193721823	0.1661465827153057	0.29842600474432746
JF819605	0.30434782608695654	0.39657030174566776	0.7842992634717242	0.13410073446643192	0.12952970007142375	0.2729995890514253	0.12250417620506826	0.1563632786851244	0.29341160072795647
JF819615	0.3043478260869566	0.37232465159369443	0.7755014353628276	0.13408908185701532	0.14020239163504628	0.27420266476036464	0.12240885465991916	0.1537942578140455	0.3078148657728676
JF819622	0.30434782608695654	0.38386020777102814	0.760487618	0.13506959623148163	0.11606345507099246	0.26828514050136776	0.12233933083285171	0.14297744405718554	0.31064581857813484
JN974823	0.3043478260869565	0.377413785	0.7878036059532283	0.10332804978006406	0.13566817720134478	0.252958403	0.12171652976516864	0.1674366696403609	0.3098549958612615
JN974824	0.3043478260869565	0.3908090217251491	0.7778866304487645	0.095121699	0.11689495330636708	0.2748561003516141	0.14951669743457344	0.1668565351180591	0.2926056419446985
JN974828	0.30434782608695654	0.41155328937019353	0.7745336671515463	0.10571881408825957	0.10742501243895643	0.2670031344631345	0.12706235848834108	0.1622160448974969	0.32437384
JN974829	0.30434782608695654	0.3581009397431032	0.7992903646047229	0.098351824	0.12207341871634228	0.25727607816343356	0.12706235848834108	0.1671191871117175	0.3133095658644287
JN974838	0.30434782608695654	0.36736091953076455	0.7726390804692358	0.10256492841156736	0.11756766275637011	0.26945027833590945	0.14337469459413968	0.15616840308901525	0.32110914713450384
JN974842	0.30434782608695654	0.34344231929107405	0.8035142024480564	0.10333598156687841	0.1239837099308082	0.26863381343350984	0.12297397729198935	0.16443427178118647	0.3291830163034182
JN974845	0.30434782608695654	0.3846677185223337	0.7796801075646234	0.10333004838272848	0.12987195060361345	0.26615043414594486	0.12170803379126785	0.1657484621913238	0.29983259761377656
JN974854	0.30434782608695654	0.3545546792007702	0.7454453207992299	0.13506959623148163	0.12698230380423106	0.2689176238103175	0.12233933083285171	0.16395333332634676	0.3001421488321229
JN974870	0.27272727272727276	0.3826454969509113	0.7609908666854518	0.13350517505642776	0.12616522158374166	0.2729692939736464	0.12423964587406758	0.1506538277609571	0.31023650186738516
JN974871	0.3043478260869565	0.37658300359614233	0.7747213442299443	0.13508411267477136	0.1248666908682114	0.2562587457210624	0.13377447192101022	0.1662901891483914	0.3015947680285672
JN974872	0.30434782608695654	0.3644950458700485	0.782461476	0.13508621784169883	0.12227364229955871	0.2822139247886128	0.12236186471522541	0.16247181550056566	0.2991868710273663
JN974873	0.36363636363636365	0.380033315	0.7926939573355346	0.13512783844975393	0.12439310048332149	0.27011857565136166	0.12358045407712648	0.16240490637327476	0.306184286
JQ970480	0.3043478260869565	0.3643083916907762	0.7696046517874836	0.10332804978006406	0.12310025928142754	0.27755999813300225	0.12171652976516864	0.15516525582879373	0.3051603316874425
KT221107	0.30434782608695654	0.3412844921149758	0.794367682	0.10456627902472533	0.11903600741790303	0.2626173179301741	0.1308660025607231	0.16408521026772588	0.31301999539621195
KT894558	0.30434782608695654	0.34997811184005834	0.7908914533773327	0.1069786675430926	0.13116330183682048	0.27247786386631745	0.12180742235966559	0.16085176712950106	0.32744069190256336
KT894572	0.30434782608695654	0.37003917454849555	0.7951782167558533	0.10777562976265503	0.12662644192468098	0.2754319381898919	0.13487815067154152	0.1696045509301301	0.31209207932977834
KT894573	0.3043478260869566	0.3468003393125809	0.7575474867743761	0.10030272517797341	0.12334466877815008	0.27201471366265767	0.11701118350690036	0.15700591237337086	0.31728731615895234
KT894577	0.3043478260869566	0.3562380211332308	0.7941967614754655	0.11744908542158185	0.12356737467455747	0.26906330004405343	0.11800686673092467	0.1666179060108336	0.3425805507485009
KT894578	0.30434782608695654	0.3907544152446306	0.7675064543205873	0.11744759957663597	0.11578579453456272	0.2700216864324717	0.11807076445929429	0.16535661894932607	0.3138713246138183
KX148264	0.30434782608695654	0.34742917880462076	0.8273534298910311	0.095136785	0.11859554581727061	0.2780518709110516	0.14939213712260216	0.16119195323333013	0.3191174656956996
KY451767	0.3043478260869565	0.3697316952428725	0.7885291743223449	0.10998254903003256	0.12932795295479232	0.2745553257009201	0.12174982030451417	0.1524932679642922	0.3219731238243532
MG201879	0.30434782608695654	0.36808619997819136	0.7719138000218085	0.11225581560653904	0.1316233611815663	0.26417670044010366	0.1270338405747967	0.16359120267245708	0.3215796177444091
MG201880	0.3043478260869565	0.37381512127880345	0.7957500961125012	0.09792686	0.1158146163111043	0.265959184	0.12697325537935086	0.16155292673506266	0.32651994058369405
MG201884	0.30434782608695654	0.3770645967288249	0.7716310554450883	0.10571881408825957	0.13078372015305717	0.2667552260505601	0.11759930068932498	0.1576442928379465	0.3092352896133055
MG201919	0.30434782608695654	0.34828641729630894	0.769974452	0.10571887325468333	0.12689089274443055	0.26519420056464876	0.12714079751221424	0.1661992466231036	0.31371285672590254
MG201921	0.30434782608695654	0.3631303104563153	0.8177392547610767	0.086657392	0.12166362313563218	0.25843862122951883	0.13462393711933823	0.17220276341176313	0.3162588842246181
FJ598135	0.3043478260869565	0.3259144723869303	0.7949550928304614	0.09400171	0.1267497695928338	0.2699383347125755	0.13231498147238566	0.15933483865118825	0.3137258270889219
FJ712195	0.30434782608695654	0.34553056736944854	0.7683824761088122	0.071096477	0.12696259004107896	0.2722546369394752	0.14244227552984418	0.15592594859851616	0.3127268933657978
FJ712196	0.30434782608695654	0.3842501400759425	0.7600976860110137	0.079290163	0.12797859862920752	0.26721122332431213	0.13388138770270247	0.15550755153607326	0.3047645851034057
